"","Gp","Ep","Sp","ESGIp"
"Denmark-2010",96.5105707308012,30.2389675279582,80.682549085979,91.7957923230752
"Denmark-2011",97.6281673254142,36.8155646535446,82.1240483612461,93.5055492598974
"Denmark-2012",96.235747184651,43.0828234352311,81.8972791954923,92.8713320897211
"Denmark-2013",96.7731022338473,41.2514136386508,81.3709736441896,93.042258908245
"Denmark-2014",95.3074313825633,48.5347450443368,82.0921821285821,92.6215463343231
"Denmark-2015",95.2207275574649,55.0302482804194,81.8083092706377,93.0284708941203
"Denmark-2016",94.0483061932192,51.4456330700497,81.6086467968997,91.766992505492
"Denmark-2017",93.6803994520336,58.1166489686014,81.9859423948646,92.0969723306428
"Denmark-2018",94.4607855960453,57.0566152500849,81.7800969213883,92.5871398327871
"Denmark-2019",94.7953951282966,62.3565263785538,81.933484772931,93.3165712797633
"Egypt, Arab Rep.-2004",24.0689675422886,24.4032285901091,61.7298899735133,30.1983600700026
"Egypt, Arab Rep.-2005",25.0093973699807,23.5682413372121,64.6047319399337,31.4455603136062
"Egypt, Arab Rep.-2006",21.9780257155474,23.1335626431364,66.1769317216477,29.3221671133883
"Egypt, Arab Rep.-2007",25.0975884078325,23.789147754104,67.7307358105361,32.1543659806055
