"","X","Gp","Ep","Sp","ESGIp","spreads","country","year","real_interest_rate","yearQ","quarter","total_debt","debt_to_GDP","fx","nonbank_domestic_debt","bank_domestic_debt","official_domestic_debt","domestic_debt","nonbank_foreign_debt","bank_foreign_debt","official_foreign_debt","foreign_debt","woe_country_code","GDP_cte","GDP_cur","GDP_per_cap_cte","inflation_mean","inflation_end","unemployment","lending_borroeing_rate","account_balance","develop","ln_GDP_cte","ln_GDP_cur","ln_GDP_per_cap_cte","taxes","vix_EUA","vix_EUR","Scale","nominal_rate","GDP_per_cap_cur_USD","ln_GDP_per_cap_cur","yearnum","post_08","post_09","post_15","post_16","post_17","ticker","fx_volatility","less_20","bet_20_40","bet_40_60","bet_60_80","bet_80_100","more_100","fx_return","int_liq"
"31","Austria-2018",89.9527505456989,75.6585638977222,88.8115926546927,91.9379602162828,-2.1862,"Austria","2018",NA,"2018Q4",4,288.18775,75.85,1.175125,3.4295,50.133,97.63275,97.63275,85.8,34.20025,70.5545,190.555,122,2420,461331,1613,2.12,1.707,4.883,0.000198,2.329,"AM",7.79152281915073,13.0418710686754,7.38585107812521,27.5228686351806,16.5691015625,16.331809375,"Units",0,51525.0464342791,10.8498233069573,2018,"YES","YES","YES","YES","YES","13",0.0260757706959122,"NO","NO","NO","YES","YES","NO",0.0373186353535793,11653.2519210656
"32","Austria-2019",89.7594836139349,75.4292609842597,88.5893297497633,91.7220175040038,-1.8905,"Austria","2019",NA,"2019Q4",4,281.625,71.5,1.11845,8.04725,39.916,94.26025,94.26025,82.68425,31.3865,73.294,187.3645,122,1585,476812,0.839,1.49,1.801,4.517,0.000443,2.614,"AM",7.36833968631138,13.0748775622018,-0.175544572514931,NA,15.3830078125,15.04932421875,"Units",0,50277.2750874213,10.8253084664747,2019,"YES","YES","YES","YES","YES","13",0.0109542729943529,"NO","NO","NO","YES","YES","NO",0.0234655887671524,9906.35143781143
"33","Belgium-2004",85.2798978551483,10.7635650403638,79.209311870222,81.0164179587032,-0.5302,"Belgium","2004",NA,"2004Q4",4,297.6885,102.475,1.260225,54.994,96.7665,154.617,154.617,85.42125,44.2415,13.40925,143.07175,124,3571,345719,3167,1.857,2.01,8.383,-0.000239,3.098,"AM",8.18060094759445,12.7533815853482,8.06054004653864,36.8776014940468,15.4567938931298,18.8862977099237,"Units",2,35364.3753314368,10.4734602458456,2004,"NO","NO","NO","NO","NO","13",0.02668000125523,"NO","NO","NO","NO","NO","YES",NA,NA
"34","Belgium-2005",84.3162856197492,11.853958707118,79.7886287765898,80.4578481142363,-1.0641,"Belgium","2005",NA,"2005Q4",4,300.6135,98.65,1.222375,54.438,94.6895,152.20975,152.20975,82.95725,46.1745,19.272,148.404,124,2322,364764,1837,2.537,2.759,8.475,-2.715,1.995,"AM",7.75018416225784,12.8070058481022,7.51588908521513,37.1512384674383,12.7798461538462,14.031135,"Units",2.25,36795.9768819639,10.5131437943211,2005,"NO","NO","NO","NO","NO","13",0.0323265814885837,"NO","NO","NO","NO","YES","NO",NA,NA
"35","Belgium-2006",84.5786390592024,12.9319070541423,80.291706520219,80.8537658083901,-0.7092,"Belgium","2006",NA,"2006Q4",4,303.57025,95.075,1.266175,54.08525,92.9225,150.37725,150.37725,85.501,41.08925,26.60325,153.1935,124,2552,385394,1913,2.328,2.073,8.267,0.000239,1.85,"AM",7.84463264446468,12.8620214666004,7.55642796944025,36.9073590378104,12.7803846153846,16.5267488461538,"Units",3.5,38672.7059429767,10.5628893574047,2006,"NO","NO","NO","NO","NO","13",0.0243665588923474,"NO","NO","NO","NO","YES","NO",-0.0309643112792719,NA
"36","Belgium-2007",84.867601239068,13.9480571567977,81.1252273389044,81.331322664425,0.4448,"Belgium","2007",NA,"2007Q4",4,307.7065,91.35,1.393075,55.424,82.8195,142.4055,142.4055,84.90575,45.13675,35.25875,165.3015,124,3677,410300,2961,1.816,3.111,7.492,6.7e-05,1.496,"AM",8.20985248130127,12.9246438784303,7.99328232810159,36.5602029570355,17.4525670498084,19.6144287356322,"Units",4,44262.8960009954,10.6979020430279,2007,"NO","NO","NO","NO","NO","13",0.0277013257381492,"NO","NO","NO","NO","YES","NO",0.0345923746717476,NA
"37","Belgium-2008",83.223952043265,14.9491520331485,81.8347271655901,80.252882327631,1.5627,"Belgium","2008",NA,"2008Q4",4,318.684,91.075,1.4949,51.1375,78.96925,134.8825,134.8825,103.4335,41.70925,38.65875,183.8015,124,0.447,420149,-0.328,4.489,2.699,6.967,-1.095,-1.006,"AM",-0.805196684368568,12.9483646892512,NA,36.908003614047,32.5826717557252,33.7087614503817,"Units",2.5,48106.892915788,10.7811807496894,2008,"YES","NO","NO","NO","NO","13",0.0506591085834863,"NO","NO","NO","NO","YES","NO",0.0910934443587029,NA
"38","Belgium-2009",85.1215157570666,17.5475444555489,82.1314612979328,82.0269998292622,-0.1278,"Belgium","2009",NA,"2009Q4",4,348.6945,100.6,1.412275,67.817,83.323,156.2005,156.2005,97.606,50.4405,44.4475,192.494,124,-2021,414798,-2806,-6e-06,0.000333,7.908,-5.431,1.657,"AM",NA,12.9355469337251,NA,34.0946041389401,31.5984942084942,33.6347776061776,"Units",1,44583.5448070814,10.7051201194153,2009,"YES","YES","NO","NO","NO","13",0.0377348282260518,"NO","NO","NO","NO","NO","YES",0.0681149240751889,NA
"39","Belgium-2010",85.3984337001869,17.1577135386995,82.4251765749367,82.2726600670364,0.6765,"Belgium","2010",NA,"2010Q4",4,366.56375,102.85,1.319,75.5695,89.633,171.088,171.088,91.05475,55.19325,49.22825,195.476,124,2864,431650,2040,2.334,3.382,8.325,-4.088,1.624,"AM",7.95997452808054,12.9753703536637,7.62070508683826,34.7110398831777,22.494578313253,26.3612714859438,"Units",1,44141.8781415734,10.695164228556,2010,"YES","YES","NO","NO","NO","13",0.0347512855488028,"NO","NO","NO","NO","NO","YES",-0.0585048945849781,NA
"40","Belgium-2011",86.5224025383041,20.213868527805,82.8394635195128,83.4951267263414,2.2138,"Belgium","2011",NA,"2011Q4",4,384.21775,103.375,1.37755,90.11225,100.53775,197.66775,197.66775,82.627,56.6175,47.3055,186.55025,124,1695,448135,0.209,3.353,3.185,7.15,-4.33,-1.94,"AM",7.43543801981455,13.0128498052893,-1.56542102701733,35.2762825597903,24.2025793650794,30.0778968253968,"Units",1,47348.5250202016,10.7652909475525,2011,"YES","YES","NO","NO","NO","13",0.0241703884011374,"NO","NO","NO","NO","NO","YES",-0.0707164518574678,NA
