country,year,real_interest_rate,yearQ,quarter,total_debt,debt_to_GDP,fx,nonbank_domestic_debt,bank_domestic_debt,official_domestic_debt,domestic_debt,nonbank_foreign_debt,bank_foreign_debt,official_foreign_debt,foreign_debt,woe_country_code,GDP_cte,GDP_cur,GDP_per_cap_cte,inflation_mean,inflation_end,unemployment,lending_borroeing_rate,account_balance,develop,ln_GDP_cte,ln_GDP_cur,ln_GDP_per_cap_cte,taxes,vix_EUA,vix_EUR,Scale,nominal_rate,GDP_per_cap_cur_USD,ln_GDP_per_cap_cur,yearnum,post_08,post_09,post_15,post_16,post_17,ticker,fx_volatility,less_20,bet_20_40,bet_40_60,bet_60_80,bet_80_100,more_100,fx_return,int_liq
Malaysia,2008,-3.903381938,2008Q4,4,299.045,38.51674953,0.29944337,177.51925,42.7515,222.813,222.813,59.424,9.23725,7.57075,76.232,548,4832,546073,2933,5.429,4.473,3.325,-3.405,16.295,EM,8.48301574,13.21050795,7.983781069,48.12355644,32.58267176,33.70876145,Units,3.25,8474.586829,9.044827179,2008,YES,NO,NO,NO,NO,21,0.149393885,NO,YES,NO,NO,NO,NO,0.064689029,NA
Malaysia,2009,11.78239296,2009Q4,4,355.60675,46.93003945,0.284477971,202.52875,93.56775,298.794,298.794,44.2365,4.94775,7.62825,56.81275,548,-1514,541907,-3204,5.97E-04,1.019,3.675,-5.88,14.829,EM,NA,13.20284968,NA,46.02950046,31.59849421,33.63477761,Units,2,7292.494447,8.89460094,2009,YES,YES,NO,NO,NO,21,0.092941865,NO,NO,YES,YES,NO,NO,0.019916255,NA
Malaysia,2010,-2.113277326,2010Q4,4,411.68975,51.14740581,0.315176853,212.74825,106.339,321.6715,321.6715,75.84225,7.11575,7.06,90.01825,548,7528,589491,5623,1.72,2.119,3.3,-4.319,9.941,EM,8.926384681,13.28701473,8.634620608,45.58881586,22.49457831,26.36127149,Units,2.75,9040.566251,9.10947709,2010,YES,YES,NO,NO,NO,21,0.106012276,NO,NO,YES,YES,NO,NO,-0.052606532,NA
Malaysia,2011,-0.471868634,2011Q4,4,463.79725,52.06567015,0.322423736,229.94375,111.08425,343.112,343.112,104.5805,8.8955,7.209,120.685,548,5293,633662,3578,3.174,2.964,3.05,-3.568,10.741,EM,8.574140472,13.35927097,8.182559264,51.14847993,24.20257937,30.07789683,Units,3,10399.37275,9.249500771,2011,YES,YES,NO,NO,NO,21,0.068491723,NO,NO,YES,YES,NO,NO,0.097402084,NA
Malaysia,2012,3.748419374,2012Q4,4,510.6105,52.97064686,0.323154064,259.219,112.2515,373.6415,373.6415,119.46725,6.98225,10.51975,136.96925,548,5474,681166,3872,1.664,1.248,3.025,-3.103,5.094,EM,8.60776489,13.43156131,8.261526448,52.04076725,17.8154902,24.58428549,Units,3,10817.44287,9.288915191,2012,YES,YES,NO,NO,NO,21,0.051860247,NO,NO,YES,YES,NO,NO,0.022476269,NA
Malaysia,2013,4.467530817,2013Q4,4,558.43175,55.37556933,0.312529538,279.85275,120.9105,402.71825,402.71825,130.7815,7.40275,17.52925,155.7135,548,4694,725649,2255,2.105,3.223,3.1,-3.478,3.435,EM,8.454040376,13.49482171,7.720905252,52.01429253,14.22903101,18.53333062,Units,3,10970.12328,9.302930792,2013,YES,YES,NO,NO,NO,21,0.088752392,NO,NO,YES,YES,NO,NO,0.00226,133444.4373
Malaysia,2014,2.068518216,2014Q4,4,608.1295,55.6614376,0.30230548,287.33475,150.22975,439.56725,439.56725,137.557,8.7075,22.29775,168.5625,548,6007,783473,4299,3.143,2.663,2.875,-2.628,4.327,EM,8.700680735,13.57149188,8.366137716,52.85811315,14.13121094,18.28192188,Units,3.25,11319.07976,9.334245055,2014,YES,YES,NO,NO,NO,21,0.081420257,NO,NO,YES,YES,NO,NO,-0.033995268,114571.9751
Malaysia,2015,3.307037704,2015Q4,4,658.82075,57.06428305,0.247793611,301.7835,164.296,468.34525,468.34525,153.5265,8.216,28.733,190.47525,548,5007,831268,3399,2.104,2.683,3.15,-2.546,2.987,EM,8.518592212,13.63070752,8.13123655,46.35513421,16.72101167,23.99266615,Units,3.25,9955.242127,9.205854538,2015,YES,YES,YES,NO,NO,21,0.300744215,NO,NO,YES,YES,NO,NO,-0.033820287,93978.54227
Malaysia,2016,2.825878433,2016Q4,4,692.012,56.83954318,0.241928683,297.92,172.9305,473.565,473.565,168.694,14.36575,35.38775,218.44725,548,4450,877249,2972,2.076,1.742,3.45,-2.603,2.393,EM,8.400659375,13.68454615,7.996990406,46.89399824,15.86348837,23.59033488,Units,3,9817.740861,9.19194632,2016,YES,YES,YES,YES,NO,21,0.165793704,NO,NO,YES,YES,NO,NO,-0.219988999,93071.81007
Malaysia,2017,0.780020813,2017Q4,4,740.07775,55.71258993,0.235381445,330.542,214.3635,549.65925,549.65925,144.01075,3.44375,42.964,190.41825,548,5742,945089,4457,3.799,3.51,3.425,-2.413,2.792,EM,8.655562861,13.75903438,8.402231173,47.71702846,11.09089147,14.76677791,Units,3,10254.23402,9.235445975,2017,YES,YES,YES,YES,YES,21,0.115106036,NO,NO,YES,YES,NO,NO,-0.024242385,100877.8347
